Titre,Réalisateur,Date de sortie,Genres,Résumé,Note
Requiem pour un massacre,Elem Klimov,1985,"['Drame', 'Guerre']","Pendant la Seconde Guerre mondiale, dans un village de Biélorussie occupé, Fliora s'engage, bien que trop jeune, chez les partisans.",8.2
Sátántangó – Le Tango de Satan,Béla Tarr,1994,['Drame'],"Dans un village perdu au coeur de la plaine hongroise, les habitants luttent quotidiennement contre le vent et l’incessante pluie d’automne. Dans la ferme collective démantelée et livrée à l’abandon, les complots vont bon train lorsqu’une rumeur annonce le retour de deux hommes passés pour morts. Bouleversés par cette nouvelle, certains habitants y voient l’arrivée d’un messie, d’autres celle de Satan…",8.2
Boulevard du crépuscule,Billy Wilder,1950,['Film noir'],"Norma Desmond, grande actrice du muet, vit recluse dans sa luxueuse villa de Beverly Hills en compagnie de Max von Meyerling, son majordome qui fut aussi son metteur en scène et mari. Joe Gillis, un scénariste sans le sou, pénètre par hasard dans la propriété et Norma lui propose de travailler au scénario du film qui marquera son retour à l'écran, Salomé.",8.2
Quand passent les cigognes,Mikhail Kalatozov,1957,"['Drame', 'Romance', 'Guerre']","A Moscou, en 1941. Boris et Veronika sont épris l'un de l'autre. Ils se promènent, le soir, tendrement enlacés, au bord de la Volga. Ces amours juvéniles sont bientôt interrompues par la déclaration de guerre. Boris s'engage, malgré la violente réprobation de son père, Fiodor Borozdine, médecin à Moscou.",8.2
Le Tombeau des lucioles,Isao Takahata,1988,"['Animation', 'Drame', 'Guerre']","L'histoire tragique de l'adolescent Seita, de sa jeune sœur Setsuko et des luttes qu'ils mènent pour survivre au Japon de la Seconde Guerre Mondiale.",8.2
Les Enfants du paradis,Marcel Carné,1945,"['Drame', 'Romance']","Paris, 1828. Sur le boulevard du Crime, au milieu de la foule, des acteurs et des bateleurs, le mime Baptiste Deburau, par son témoignage muet, sauve Garance d'une erreur judiciaire. C'est ici que commencent les amours contrariées de Garance, femme libre et audacieuse, et de Baptiste qu'elle intimide et qui n'ose lui déclarer sa flamme. Mais aussi ceux de Nathalie, la fille du directeur du théâtre, qui aime Baptiste, et Frédérick Lemaître, un jeune acteur prometteur, qui entame une liaison avec...  Voir plus",8.2
Rébellion,Masaki Kobayashi,1967,"['Drame', 'Action']","Sous l'ère Edo au Japon. Un chef de fief décide de marier sa femme, qu'il vient de répudier, au fils du samouraï Isaburo Sasahara.",8.2
La Condition de l'homme 1 - Il n'y a pas de plus grand amour,Masaki Kobayashi,1959,"['Drame', 'Historique', 'Guerre']","1943. Kaji et sa femme partent pour les mines de Mandchourie. Souhaitant faciliter les conditions de travail des employés, il se heurte à ses supérieurs. Lorsque des prisonniers de guerre chinois sont débarqués de wagons à bestiaux, Kaji ne peut supporter cette infamie et décide de s'opposer aux méthodes extrêmes de sa hiérarchie...",8.2
Les Temps modernes,Charlie Chaplin,1936,"['Comédie dramatique', 'Muet']","La vie d'un ouvrier d'usine, employé sur une chaîne de production. Les mauvais traitements et rythme effréné imposé le poussent à la dépression nerveuse.",8.2
La Vie est belle,Frank Capra,1946,"['Drame', 'Fantastique']","Un soir de Noël, un homme déprimé décide de se jeter dans la rivière après avoir perdu une grosse somme d'argent. Un ange va l'aider.",8.2
Les Lumières de la ville,Charlie Chaplin,1931,"['Comédie dramatique', 'Romance', 'Muet']","Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire...",8.2
Rendez-vous,Ernst Lubitsch,1940,['Comédie romantique'],"Chez Matuschek et Cie, une grande boutique de maroquinerie, le jeune Alfred Kralik, l'adjoint du patron, et Klara Novak, une nouvelle employée, vont échanger une correspondance amoureuse, sans savoir qui ils sont, à l'aide de petites annonces.",8.2
Midsommar : The Director's Cut,Ari Aster,2019,"['Épouvante-Horreur', 'Drame', 'Thriller']","Dani et Christian sont sur le point de se séparer quand la famille de Dani est touchée par une tragédie. Attristé par le deuil de la jeune femme, Christian ne peut se résoudre à la laisser seule et l’emmène avec lui et ses amis à un festival estival qui n’a lieu qu’une fois tous les 90 ans et se déroule dans un village suédois isolé. Mais ce qui commence comme des vacances insouciantes dans un pays où le soleil ne se couche pas va vite prendre une tournure beaucoup plus sinistre et inquiétante.",8.2
Le Chagrin et la Pitié,Marcel Ophüls,1969,"['Historique', 'Guerre']",Chronique de la ville française de Clermont-Ferrand sous l'occupation allemande.,8.2
Jeux dangereux,Ernst Lubitsch,1942,"['Comédie', 'Guerre']","Pendant l'occupation nazie de la Pologne, une troupe d'acteurs est impliquée dans les efforts d'un soldat polonais cherchant un espion allemand.",8.2
Ève...,Joseph L. Mankiewicz,1950,['Drame'],"Eve Harrington reçoit, des mains d'un vieil acteur, le prix Sarah Siddons. L'entourage de celle-ci se souvient de son ascension.",8.2
Les Sentiers de la gloire,Stanley Kubrick,1957,"['Drame', 'Guerre']","En 1916, durant la Première Guerre mondiale, le général français Broulard ordonne au général Mireau de lancer une offensive suicidaire contre une position allemande imprenable, surnommée ""la fourmilière"". Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons, épuisés, refusent d'avancer...",8.2
Andreï Roublev,Andreï Tarkovski,1966,"['Drame', 'Biopic', 'Historique', 'Guerre']","En 1405, le peintre Théophane le Grec demande à Andreï Roublev de venir travailler avec lui à la décoration de l'église de l'Annonciation à Moscou. Quelques années plus tard, bouleversé par la violence de l'époque, Roublev renonce à son art et se mure dans le silence.",8.2
M le maudit,Fritz Lang,1931,"['Policier', 'Drame', 'Thriller']","À Berlin, la police recherche un tueur d'enfants qui terrorise la ville. Alors qu'elle est impuissante, ce sont les criminels qui vont s'en charger.",8.1
