Titre,Réalisateur,Date de sortie,Genres,Résumé,Note
Second Tour,Albert Dupontel,2023,['Comédie dramatique'],"Journaliste politique en disgrâce placée à la rubrique football, Mademoiselle Pove est sollicitée pour suivre la campagne présidentielle en cours. Le favori est un quinquagénaire, héritier d’une puissante famille française et novice en politique. Troublée par ce candidat qu’elle a connu moins lisse par le passé, Mademoiselle Pove se lance dans une enquête aussi étonnante que jubilatoire...",6.2
Vermines,Sébastien Vaniček,2023,['Épouvante-Horreur'],"Face à une invasion d'araignées, les habitants d'un immeuble vont devoir survivre.",7
Dune,Denis Villeneuve,2021,"['Science-fiction', 'Drame']","L'histoire de Paul Atreides, jeune homme aussi doué que brillant, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers – la seule à même de fournir la ressource la plus précieuse au monde, capable de décupler la puissance de l'humanité. Tandis que des forces maléfiques se disputent le contrôle de cette planète, seuls ceux qui parviennent à dominer...  Voir plus",7.4
Annette,Leos Carax,2021,"['Drame', 'Comédie musicale', 'Romance']","Los Angeles, de nos jours. Henry est un comédien de stand-up à l’humour féroce. Ann, une cantatrice de renommée internationale. Ensemble, sous le feu des projecteurs, ils forment un couple épanoui et glamour. La naissance de leur premier enfant, Annette, une fillette mystérieuse au destin exceptionnel, va bouleverser leur vie.",6.8
The Father,Florian Zeller,2020,['Drame'],"Alors qu’il vieillit et devient de moins en moins autonome, un père refuse l’aide de sa fille. Voyant la situation se dégrader, il commence à douter de ses proches, de son propre esprit et même de ce qui est réel.",7.6
Le Dernier Duel,Ridley Scott,2021,"['Drame', 'Historique']","Basé sur des événements réels, le film dévoile d’anciennes hypothèses sur le dernier duel judiciaire connu en France - également nommé « Jugement de Dieu » - entre Jean de Carrouges et Jacques Le Gris, deux amis devenus au fil du temps des rivaux acharnés.",7.2
Don't Look Up - Déni cosmique,Adam McKay,2021,"['Comédie dramatique', 'Science-fiction']",Deux piètres astronomes s'embarquent dans une gigantesque tournée médiatique pour prévenir l'humanité qu'une comète se dirige vers la Terre et s'apprête à la détruire.,6.8
Titane,Julia Ducournau,2021,"['Drame', 'Thriller', 'Épouvante-Horreur']","Après une série de crimes inexpliqués, un père retrouve son fils disparu depuis 10 ans. Titane : Métal hautement résistant à la chaleur et à la corrosion, donnant des alliages très durs.",6.1
Julie (en 12 chapitres),Joachim Trier,2021,"['Comédie dramatique', 'Romance']","Oslo, de nos jours. Julie est une jeune femme pleine de ressource, mais à 30 ans, elle cherche encore sa voie. Bien qu’heureuse avec Aksel, un dessinateur à succès, aimant et protecteur, elle refuse l’enfant qu’il désire. Quand Julie le quitte pour Eivind, elle espère, une fois de plus, commencer une nouvelle vie.",7.4
Last Night in Soho,Edgar Wright,2021,"['Thriller', 'Épouvante-Horreur', 'Drame', 'Fantastique']","Une jeune fille, passionnée par la mode, parvient mystérieusement à voyager dans les années 1960 où elle rencontre son idole, une éblouissante chanteuse en devenir. Mais le Londres des années 1960 n'est pas ce qu'il paraît, et le temps semble se désagréger avec d'obscures conséquences.",6.7
Le Sommet des dieux,Patrick Imbert,2021,"['Animation', 'Aventure', 'Drame', 'Sport']","A Katmandou, le reporter japonais Fukamachi croit reconnaître Habu Jôji, cet alpiniste que l'on pensait disparu depuis des années. Il semble tenir entre ses mains un appareil photo qui pourrait changer l'histoire de l'alpinisme. Et si George Mallory et Andrew Irvine étaient les premiers hommes à avoir atteint le sommet de l'Everest, le 8 juin 1924 ? Seul le petit Kodak Vest Pocket avec lequel ils devaient se photographier sur le toit du monde pourrait livrer la vérité.",7.7
Drive My Car,Ryusuke Hamaguchi,2021,['Drame'],"Alors qu'il n'arrive toujours pas à se remettre d'un drame personnel, Yusuke Kafuku, acteur et metteur en scène de théâtre, accepte de monter Oncle Vania dans un festival, à Hiroshima. Il y fait la connaissance de Misaki, une jeune femme réservée qu'on lui a assignée comme chauffeure. Au fil des trajets, la sincérité croissante de leurs échanges les oblige à faire face à leur passé.",7.3
Illusions perdues,Xavier Giannoli,2021,"['Drame', 'Historique']","Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice. Bientôt livré à lui-même dans la ville fabuleuse, le jeune homme va découvrir les coulisses d’un monde voué à la loi du profit et des faux-semblants. Une comédie humaine où tout s’achète et se vend, la littérature comme la presse, la politique comme les...  Voir plus",7.4
West Side Story,Steven Spielberg,2021,"['Comédie musicale', 'Drame', 'Romance']","Alors que les tensions sont à leur apogée dans West Side, Riff, leader des Jets, convainc Tony, l'ancien chef, de participer à un bal avec leurs adversaires. Le jeune homme accepte et rencontre à cette occasion la sœur du chef du clan rival, Maria, débutant une romance qui met le feu aux poudres...",7.1
Onoda,Arthur Harari,2021,"['Drame', 'Guerre', 'Biopic']","Fin 1944. Le Japon est en train de perdre la guerre. Sur ordre du mystérieux Major Taniguchi, le jeune Hiroo Onoda est envoyé sur une île des Philippines juste avant le débarquement américain. La poignée de soldats qu'il entraîne dans la jungle découvre bientôt la doctrine inconnue qui va les lier à cet homme : la Guerre Secrète. Pour l'Empire, la guerre est sur le point de finir. Pour Onoda, elle s'achèvera 10 000 nuits plus tard.",7.5
Nomadland,Chloé Zhao,2020,['Drame'],"Après l’effondrement économique de la cité ouvrière du Nevada où elle vivait, Fern décide de prendre la route à bord de son van aménagé et d’adopter une vie de nomade des temps modernes, en rupture avec les standards de la société actuelle. De vrais nomades incarnent les camarades et mentors de Fern et l’accompagnent dans sa découverte des vastes étendues de l’Ouest américain.",6.8
Boîte noire,Yann Gozlan,2021,"['Drame', 'Thriller']","Que s’est-il passé à bord du vol Dubaï-Paris avant son crash dans le massif alpin ? Technicien au BEA, autorité responsable des enquêtes de sécurité dans l’aviation civile, Mathieu Vasseur est propulsé enquêteur en chef sur une catastrophe aérienne sans précédent. Erreur de pilotage ? Défaillance technique ? Acte terroriste ? L’analyse minutieuse des boîtes noires va pousser Mathieu à mener en secret sa propre investigation. Il ignore encore jusqu’où va le mener sa quête de vérité.",7
Parasite,Bong Joon-Ho,2019,"['Drame', 'Thriller', 'Comédie']","Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne…",8.3
Joker,Todd Phillips,2019,"['Policier', 'Drame', 'Thriller']","Dans les années 1980, à Gotham City, Arthur Fleck, un comédien de stand-up raté est agressé alors qu'il erre dans les rues de la ville déguisé en clown. Méprisé de tous et bafoué, il bascule peu à peu dans la folie pour devenir le Joker, un dangereux tueur psychotique.",7.6
Once Upon a Time... in Hollywood,Quentin Tarantino,2019,"['Drame', 'Comédie']","En 1969, la star de télévision Rick Dalton et le cascadeur Cliff Booth, sa doublure de longue date, poursuivent leurs carrières au sein d’une industrie qu’ils ne reconnaissent plus.",7.2
Green Book - Sur les routes du Sud,Peter Farrelly,2018,"['Drame', 'Biopic', 'Road movie']","En 1962, alors que règne la ségrégation, un videur italo-américain du Bronx est engagé pour conduire et protéger un pianiste noir de renommée mondiale lors d’une tournée de concerts. Ils s’appuient sur le Green Book pour dénicher les établissements accueillant les personnes de couleur.",7.6
Les Misérables,Ladj Ly,2019,['Drame'],"Stéphane, tout juste arrivé de Cherbourg, intègre la Brigade Anti-Criminalité de Montfermeil, dans le 93. Il va faire la rencontre de ses nouveaux coéquipiers, Chris et Gwada, deux «Bacqueux» d’expérience. Il découvre rapidement les tensions entre les différents groupes du quartier.",7.5
Midsommar,Ari Aster,2019,"['Drame', 'Épouvante-Horreur', 'Thriller']","Dani et Christian sont sur le point de se séparer quand la famille de Dani est touchée par une tragédie. Attristé par le deuil de la jeune femme, Christian ne peut se résoudre à la laisser seule et l’emmène avec lui et ses amis à un festival estival qui n’a lieu qu’une fois tous les 90 ans et se déroule dans un village suédois isolé. Mais ce qui commence comme des vacances insouciantes dans un pays où le soleil ne se couche pas va vite prendre une tournure beaucoup plus sinistre et inquiétante.",7.2
Le Chant du loup,Antonin Baudry (Abel Lanzac),2019,"['Action', 'Drame', 'Thriller', 'Guerre']","Un jeune homme a le don rare de reconnaître chaque son qu’il entend. A bord d’un sous-marin nucléaire français, tout repose sur lui, l’Oreille d’Or. Réputé infaillible, il commet pourtant une erreur qui met l’équipage en danger de mort. Il veut retrouver la confiance de ses camarades mais sa quête les entraîne dans une situation encore plus dramatique. Dans le monde de la dissuasion nucléaire et de la désinformation, ils se retrouvent tous pris au piège d’un engrenage incontrôlable.",7.3
Portrait de la jeune fille en feu,Céline Sciamma,2019,"['Drame', 'Historique', 'Romance']","1770. Marianne est peintre et doit réaliser le portrait de mariage d’Héloïse, une jeune femme qui vient de quitter le couvent. Héloïse résiste à son destin d’épouse en refusant de poser. Marianne va devoir la peindre en secret. Introduite auprès d’elle en tant que dame de compagnie, elle la regarde.",7.4
La Favorite,Yórgos Lánthimos,2018,"['Historique', 'Drame', 'Comédie', 'Biopic', 'Thriller']","Début du XVIIIème siècle. L’Angleterre et la France sont en guerre. Toutefois, à la cour, la mode est aux courses de canards et à la dégustation d’ananas. La reine Anne, à la santé fragile et au caractère instable, occupe le trône tandis que son amie Lady Sarah gouverne le pays à sa place. Lorsqu’une nouvelle servante, Abigail Hill, arrive à la cour, Lady Sarah la prend sous son aile, pensant qu’elle pourrait être une alliée. Abigail va y voir l’opportunité de renouer avec ses racines...  Voir plus",7.2
Ad Astra,James Gray,2019,"['Science-fiction', 'Aventure', 'Drame', 'Thriller']","L’astronaute Roy McBride s’aventure jusqu’aux confins du système solaire à la recherche de son père disparu et pour résoudre un mystère qui menace la survie de notre planète. Lors de son voyage, il sera confronté à des révélations mettant en cause la nature même de l’existence humaine, et notre place dans l’univers.",6.5
Avengers: Endgame,Anthony Russo,2019,"['Action', 'Aventure', 'Fantasy', 'Science-fiction']","Thanos ayant anéanti la moitié de l’univers, les Avengers restants resserrent les rangs dans ce vingt-deuxième film des Studios Marvel, grande conclusion d’un des chapitres de l’Univers Cinématographique Marvel.",6.5
Marriage Story,Noah Baumbach,2019,"['Drame', 'Romance']","Un metteur en scène et sa femme, comédienne, se débattent dans un divorce exténuant qui les pousse à des extrêmes...",7.3
Toy Story 4,Josh Cooley,2019,"['Animation', 'Comédie', 'Aventure']","Woody a toujours privilégié la joie et le bien-être de ses jeunes propriétaires – Andy puis Bonnie – et de ses compagnons, n’hésitant pas à prendre tous les risques pour eux, aussi inconsidérés soient-ils. L’arrivée de Forky un nouveau jouet qui ne veut pas en être un dans la chambre de Bonnie met toute la petite bande en émoi. C’est le début d’une grande aventure et d’un extraordinaire voyage pour Woody et ses amis. Le cowboy va découvrir à quel point le monde peut être vaste pour un jouet…",7.2
The Irishman,Martin Scorsese,2019,"['Drame', 'Gangster', 'Policier', 'Biopic']","Cette saga sur le crime organisé dans l'Amérique de l'après-guerre est racontée du point de vue de Frank Sheeran, un ancien soldat de la Seconde Guerre mondiale devenu escroc et tueur à gages ayant travaillé aux côtés de quelques-unes des plus grandes figures du XX° siècle. Couvrant plusieurs décennies, le film relate l'un des mystères insondables de l'histoire des États-Unis : la disparition du légendaire dirigeant syndicaliste Jimmy Hoffa. Il offre également une plongée monumentale dans les...  Voir plus",7
À couteaux tirés,Rian Johnson,2019,"['Comédie', 'Policier', 'Drame', 'Thriller']","Célèbre auteur de polars, Harlan Thrombey est retrouvé mort dans sa somptueuse propriété, le soir de ses 85 ans. L’esprit affûté et la mine débonnaire, le détective Benoit Blanc est alors engagé par un commanditaire anonyme afin d’élucider l’affaire. Mais entre la famille d’Harlan qui s'entre-déchire et son personnel qui lui reste dévoué, Blanc plonge dans les méandres d’une enquête mouvementée...",7.1
3 Billboards - Les Panneaux de la vengeance,Martin McDonagh,2017,"['Comédie', 'Policier', 'Drame']","Après des mois sans que l'enquête sur la mort de sa fille ait avancé, Mildred Hayes prend les choses en main, affichant un message controversé visant le très respecté chef de la police sur trois grands panneaux à l'entrée de leur ville.",7.6
L'Île aux chiens,Wes Anderson,2018,"['Aventure', 'Comédie', 'Science-fiction', 'Animation']","En raison d’une épidémie de grippe canine, le maire de Megasaki ordonne la mise en quarantaine de tous les chiens de la ville, envoyés sur une île qui devient alors l’Ile aux Chiens. Le jeune Atari, 12 ans, vole un avion et se rend sur l’île pour rechercher son fidèle compagnon, Spots. Aidé par une bande de cinq chiens intrépides et attachants, il découvre une conspiration qui menace la ville.",7.7
Spider-Man : New Generation,Bob Persichetti,2018,"['Action', 'Aventure', 'Science-fiction', 'Animation']","Miles Morales est un adolescent afro-américain et portoricain qui vit à Brooklyn et s'efforce de s'intégrer dans son nouveau collège à Manhattan. Mais sa vie se complique quand il se fait mordre par une araignée radioactive et se découvre des super-pouvoirs : il est désormais capable d'empoisonner ses adversaires, de se camoufler, de coller littéralement aux murs et aux plafonds ; son ouïe est démultipliée… Dans le même temps, le plus redoutable cerveau criminel de la ville, le Caïd, a mis au...  Voir plus",8
Ready Player One,Steven Spielberg,2018,"['Action', 'Aventure', 'Science-fiction']","2044. La Terre est à l’agonie. Comme la majeure partie de l’humanité, Wade, 17 ans, passe son temps dans l’OASIS – un univers virtuel où chacun peut vivre et être ce qui lui chante. Mais lorsque le fondateur de l’OASIS meurt sans héritier, une formidable chasse au trésor est lancée : celui qui découvrira les trois clefs cachées dans l’OASIS par son créateur remportera 250 milliards de dollars ! Multinationales et geeks s’affrontent alors dans une quête épique, dont l’avenir du monde est...  Voir plus",6.7
La Forme de l'eau,Guillermo del Toro,2017,"['Drame', 'Fantastique', 'Romance']","Modeste employée d’un laboratoire gouvernemental ultrasecret, Elisa mène une existence solitaire, d’autant plus isolée qu’elle est muette. Sa vie bascule à jamais lorsqu’elle et sa collègue Zelda découvrent une expérience encore plus secrète que les autres…",6.8
Avengers: Infinity War,Anthony Russo,2018,"['Action', 'Aventure', 'Fantasy', 'Science-fiction']",Les Avengers et leurs alliés devront être prêts à tout sacrifier pour neutraliser le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l’univers.,7
Call Me by Your Name,Luca Guadagnino,2018,"['Drame', 'Romance']","Été 1983. Elio Perlman, 17 ans, passe ses vacances dans la villa du XVIIe siècle que possède sa famille en Italie, à jouer de la musique classique, à lire et à flirter avec son amie Marzia. Son père, éminent professeur spécialiste de la culture gréco-romaine, et sa mère, traductrice, lui ont donné une excellente éducation, et il est proche de ses parents. Sa sophistication et ses talents intellectuels font d’Elio un jeune homme mûr pour son âge, mais il conserve aussi une certaine innocence, en...  Voir plus",7.2
First Man - Le Premier Homme sur la Lune,Damien Chazelle,2018,"['Biopic', 'Drame']","Pilote jugé « un peu distrait » par ses supérieurs en 1961, Neil Armstrong sera, le 21 juillet 1969, le premier homme à marcher sur la lune. Durant huit ans, il subit un entraînement de plus en plus difficile, assumant courageusement tous les risques d’un voyage vers l’inconnu total. Meurtri par des épreuves personnelles qui laissent des traces indélébiles, Armstrong tente d’être un mari aimant auprès d’une femme qui l’avait épousé en espérant une vie normale.",7.1
Les Indestructibles 2,Brad Bird,2018,"['Animation', 'Action', 'Aventure', 'Fantastique']","Notre famille de super-héros préférée est de retour! Cette fois c’est Hélène qui se retrouve sur le devant de la scène laissant à Bob le soin de mener à bien les mille et une missions de la vie quotidienne et de s’occuper de Violette, Flèche et de bébé Jack-Jack. C’est un changement de rythme difficile pour la famille d’autant que personne ne mesure réellement l’étendue des incroyables pouvoirs du petit dernier… Lorsqu’un nouvel ennemi fait surface, la famille et Frozone vont devoir s’allier...  Voir plus",7.2
Phantom Thread,Paul Thomas Anderson,2017,['Drame'],"Dans le Londres glamour des années 50, le célèbre couturier Reynold Woodcock et sa sœur Cyril sont au cœur de la mode britannique, habillant la famille royale, les stars de cinéma, les héritières, les mondains et les dames dans le style reconnaissable de la Maison Woodcock. Les femmes défilent dans la vie de Woodcock, apportant à ce célibataire endurci inspiration et compagnie, jusqu’au jour où il rencontre Alma, une jeune femme au caractère fort qui deviendra rapidement sa muse et son amante...  Voir plus",7.2
BlacKkKlansman - J'ai infiltré le Ku Klux Klan,Spike Lee,2018,"['Comédie', 'Policier', 'Biopic']","Au début des années 70, au plus fort de la lutte pour les droits civiques, plusieurs émeutes raciales éclatent dans les grandes villes des États-Unis. Ron Stallworth devient le premier officier Noir américain du Colorado Springs Police Department, mais son arrivée est accueillie avec scepticisme, voire avec une franche hostilité, par les agents les moins gradés du commissariat. Prenant son courage à deux mains, Stallworth va tenter de faire bouger les lignes et, peut-être, de laisser une trace...  Voir plus",7
Under the Silver Lake,David Robert Mitchell,2018,"['Thriller', 'Drame', 'Comédie', 'Film noir']","À Los Angeles, Sam, 33 ans, sans emploi, rêve de célébrité. Lorsque Sarah, une jeune et énigmatique voisine, se volatilise brusquement, Sam se lance à sa recherche et entreprend alors une enquête obsessionnelle surréaliste à travers la ville. Elle le fera plonger jusque dans les profondeurs les plus ténébreuses de la Cité des Anges, où il devra élucider disparitions et meurtres mystérieux sur fond de scandales et de conspirations.",6.8
Jusqu'à la garde,Xavier Legrand,2018,['Drame'],"Le couple Besson divorce. Pour protéger son fils d’un père qu’elle accuse de violences, Miriam en demande la garde exclusive. La juge en charge du dossier accorde une garde partagée au père.",7.5
Bohemian Rhapsody,Bryan Singer,2018,"['Biopic', 'Drame', 'Musique']","""Bohemian Rhapsody"" retrace le destin extraordinaire du groupe Queen et de leur chanteur emblématique Freddie Mercury, qui a défié les stéréotypes, brisé les conventions et révolutionné la musique. Du succès fulgurant de Freddie Mercury à ses excès, risquant la quasi-implosion du groupe, jusqu’à son retour triomphal sur scène lors du concert Live Aid, alors qu’il était frappé par la maladie, découvrez la vie exceptionnelle d’un homme qui continue d’inspirer les outsiders, les rêveurs et tous...  Voir plus",6.7
Une affaire de famille,Hirokazu Kore-eda,2018,['Drame'],"Osamu travaille comme journalier. Lui et son fils Shota aiment voler à l'étalage. Sur le chemin de la maison, Osamu trouve un soir, après une session de vol, la petite Yuri qu'il ramène chez lui, où vivent déjà sa femme Nobuyo, sa belle-sœur Aki et la grand-mère Hatsue. Ils forment ensemble une famille pauvre mais heureuse.",7.6
1917,Sam Mendes,2019,"['Drame', 'Guerre']","Pris dans la tourmente de la Première Guerre Mondiale, Schofield et Blake, deux jeunes soldats britanniques, se voient assigner une mission à proprement parler impossible. Porteurs d’un message qui pourrait empêcher une attaque dévastatrice et la mort de centaines de soldats, dont le frère de Blake, ils se lancent dans une véritable course contre la montre, derrière les lignes ennemies.",7.6
Drunk,Thomas Vinterberg,2020,['Comédie dramatique'],"Quatre amis décident de mettre en pratique la théorie d’un psychologue norvégien selon laquelle l’homme aurait dès la naissance un déficit d’alcool dans le sang. Avec une rigueur scientifique, chacun relève le défi en espérant tous que leur vie n’en sera que meilleure ! Si dans un premier temps les résultats sont encourageants, la situation devient rapidement hors de contrôle.",7.3
Jojo Rabbit,Taika Waititi,2019,"['Comédie', 'Drame', 'Guerre']","Jojo est un petit allemand solitaire. Sa vision du monde est mise à l’épreuve quand il découvre que sa mère cache une jeune fille juive dans leur grenier. Avec la seule aide de son ami aussi grotesque qu'imaginaire, Adolf Hitler, Jojo va devoir faire face à son nationalisme aveugle.",7.1
Soul,Pete Docter,2020,"['Animation', 'Aventure', 'Comédie', 'Fantastique', 'Comédie musicale']","Au moment où Joe pense que son rêve est désormais à portée de main, un pas malencontreux l’expédie dans un endroit fantastique où il est obligé de réfléchir à nouveau à la signification d’avoir une âme. C’est là qu’il se lie d’amitié avec 22, une âme qui ne pense pas que la vie sur Terre soit aussi bien que ce qu’on veut bien lui faire croire...",7.4
Tenet,Christopher Nolan,2020,"['Action', 'Science-fiction', 'Thriller']","Muni d’un seul mot – Tenet – et décidé à se battre pour sauver le monde, notre protagoniste sillonne l’univers crépusculaire de l’espionnage international. Sa mission le projettera dans une dimension qui dépasse le temps. Pourtant, il ne s’agit pas d’un voyage dans le temps, mais d’un renversement temporel.",6.2
Uncut Gems,Josh Safdie,2019,"['Thriller', 'Drame']","Un propriétaire de bijouterie, au sein de Diamond District à New York, et revendeur à ses heures perdues, voit sa vie bouleversée lorsque sa marchandise est volée.",6.9
The Gentlemen,Guy Ritchie,2019,"['Action', 'Comédie', 'Gangster']","Quand Mickey Pearson, baron de la drogue à Londres, laisse entendre qu'il pourrait se retirer du marché, il déclenche une guerre explosive : la capitale anglaise devient le théâtre de tous les chantages, complots, trahisons, corruptions et enlèvements… Dans cette jungle où l'on ne distingue plus ses alliés de ses ennemis, il n'y a de la place que pour un seul roi !",7.1
Adieu les cons,Albert Dupontel,2020,['Comédie dramatique'],"Lorsque Suze Trappet apprend à 43 ans qu’elle est sérieusement malade, elle décide de partir à la recherche de l'enfant qu’elle a été forcée d'abandonner quand elle avait 15 ans. Sa quête administrative va lui faire croiser JB, quinquagénaire en plein burn out, et M. Blin, archiviste aveugle d’un enthousiasme impressionnant. À eux trois, ils se lancent dans une quête aussi spectaculaire qu’improbable.",6.9
Le Cas Richard Jewell,Clint Eastwood,2019,"['Biopic', 'Drame', 'Policier']","En 1996, Richard Jewell fait partie de l'équipe chargée de la sécurité des Jeux d'Atlanta. Il est l'un des premiers à alerter de la présence d'une bombe et à sauver des vies. Mais il se retrouve bientôt suspecté... de terrorisme, passant du statut de héros à celui d'homme le plus détesté des Etats-Unis. Il fut innocenté trois mois plus tard par le FBI mais sa réputation ne fut jamais complètement rétablie, sa santé étant endommagée par l'expérience.",7
Dark Waters,Todd Haynes,2019,"['Biopic', 'Drame', 'Thriller']","Robert Bilott est un avocat spécialisé dans la défense des industries chimiques. Interpellé par un paysan, voisin de sa grand-mère, il va découvrir que la campagne idyllique de son enfance est empoisonnée par une usine du puissant groupe chimique DuPont, premier employeur de la région. Afin de faire éclater la vérité sur la pollution mortelle due aux rejets toxiques de l’usine, il va risquer sa carrière, sa famille, et même sa propre vie.",7.2
En avant,Dan Scanlon,2020,"['Animation', 'Comédie', 'Aventure', 'Fantastique', 'Jeunesse', 'Road movie']","Dans la banlieue d’un univers imaginaire, deux frères elfes se lancent dans une quête extraordinaire pour découvrir s’il reste encore un peu de magie dans le monde.",6.8
Play,Anthony Marciano,2020,['Comédie romantique'],"En 1993, Max a 13 ans quand on lui offre sa première caméra. Pendant 25 ans il ne s’arrêtera pas de filmer. La bande de potes, les amours, les succès, les échecs. Des années 90 aux années 2010, c’est le portrait de toute une génération qui se dessine à travers son objectif.",7
Les Filles du docteur March,Greta Gerwig,2019,"['Drame', 'Romance']","Une nouvelle adaptation du classique de Louisa May Alcott, narrant l’histoire de quatre filles de la classe moyenne durant la Guerre de Sécession.",6.6
Les Sept de Chicago,Aaron Sorkin,2020,"['Drame', 'Historique', 'Thriller']","Alors qu’elle devait être pacifique, la manifestation tenue en marge de la convention démocrate de 1968 s’est transformée en un affrontement violent avec la police et la garde nationale américaine. Ses organisateurs, notamment Abbie Hoffman, Jerry Rubin, Tom Hayden et Bobby Seale, ont alors été accusés de conspiration et d’incitation à la révolte lors d’un procès entré dans l’Histoire.",7.1
Invisible Man,Leigh Whannell,2020,"['Épouvante-Horreur', 'Science-fiction', 'Thriller']","Cecilia Kass est en couple avec un brillant et riche scientifique. Ne supportant plus son comportement violent et tyrannique, elle prend la fuite une nuit et se réfugie auprès de sa sœur, leur ami d'enfance et sa fille adolescente.
Mais quand l'homme se suicide en laissant à Cecilia une part importante de son immense fortune, celle-ci commence à se demander s'il est réellement mort. Tandis qu'une série de coïncidences inquiétantes menace la vie des êtres qu'elle aime, Cecilia cherche...  Voir plus",6.3
La La Land,Damien Chazelle,2016,"['Comédie musicale', 'Comédie dramatique', 'Romance', 'Musique']","Au cœur de Los Angeles, une actrice en devenir prénommée Mia sert des cafés entre deux auditions.
De son côté, Sebastian, passionné de jazz, joue du piano dans des clubs miteux pour assurer sa subsistance.
Tous deux sont bien loin de la vie rêvée à laquelle ils aspirent…
Le destin va réunir ces doux rêveurs, mais leur coup de foudre résistera-t-il aux tentations, aux déceptions, et à la vie trépidante d’Hollywood ?",7.5
Blade Runner 2049,Denis Villeneuve,2017,"['Science-fiction', 'Drame', 'Policier']","En 2049, la société est fragilisée par les nombreuses tensions entre les humains et leurs esclaves créés par Bioingénierie. L’officier K est un Blade Runner : il fait partie d’une force d’intervention d’élite chargée de trouver et d’éliminer ceux qui n’obéissent pas aux ordres des humains. Lorsqu’il découvre un secret enfoui depuis longtemps et capable de changer le monde, les plus hautes instances décident que c’est à son tour d’être traqué et éliminé. Son seul espoir est de retrouver Rick...  Voir plus",7.4
Logan,James Mangold,2017,"['Action', 'Science-fiction', 'Aventure', 'Drame', 'Thriller']","Dans un futur proche, un Logan épuisé prend soin d'un Professeur X malade dans un recoin de la frontière mexicaine. Mais les tentatives de Logan de se cacher du monde et son héritage sont bouleversés lorsqu'une jeune mutante arrive, poursuivie par les forces du mal.",7.1
Get Out,Jordan Peele,2017,"['Thriller', 'Épouvante-Horreur']","Couple mixte, Chris et sa petite amie Rose filent le parfait amour. Le moment est donc venu de rencontrer la belle famille, Missy et Dean lors d’un week-end sur leur domaine dans le nord de l’État. Chris commence par penser que l’atmosphère tendue est liée à leur différence de couleur de peau, mais très vite une série d’incidents de plus en plus inquiétants lui permet de découvrir l’inimaginable.",7.2
Dunkerque,Christopher Nolan,2017,"['Action', 'Drame', 'Guerre']","Au début de la Seconde Guerre mondiale, en mai 1940, environ 400 000 soldats britanniques, français et belges se retrouvent encerclés par les troupes allemandes dans la poche de Dunkerque. L'opération Dynamo est mise en place pour évacuer le Corps expéditionnaire britannique (CEB) vers l'Angleterre. L'histoire s'intéresse aux destins croisés des soldats, pilotes, marins et civils anglais durant l'Opération Dynamo. Alors que le CEB est évacué par le port et les plages de Dunkerque, trois soldats...  Voir plus",6.9
Baby Driver,Edgar Wright,2017,"['Action', 'Thriller', 'Comédie', 'Gangster']","Chauffeur pour des braqueurs de banque, Baby ne compte que sur lui-même pour être le meilleur. Lorsqu’il rencontre la fille de ses rêves, il cherche à mettre fin à ses activités criminelles. Mais son patron ne va pas le laisser revenir dans le droit chemin si facilement...",6.8
Grave,Julia Ducournau,2016,"['Épouvante-Horreur', 'Drame']","Dans la famille de Justine tout le monde est vétérinaire et végétarien. À 16 ans, elle est une adolescente surdouée sur le point d’intégrer l’école véto où sa sœur ainée est également élève. Mais, à peine installés, le bizutage commence pour les premières années. On force Justine à manger de la viande crue. C’est la première fois de sa vie. Les conséquences ne se font pas attendre. Justine découvre sa vraie nature.",6.9
Coco,Lee Unkrich,2017,"['Animation', 'Aventure', 'Comédie', 'Fantastique', 'Comédie musicale']","Un jeune garçon trouve le moyen de pénétrer dans le royaume des morts. Cependant, il doit retrouver le fantôme d'un célèbre musicien pour espérer retourner dans le monde des vivants.",7.7
Au revoir là-haut,Albert Dupontel,2017,"['Comédie dramatique', 'Guerre']","Novembre 1919. Deux rescapés des tranchées, l'un dessinateur de génie, l'autre modeste comptable, décident de monter une arnaque aux monuments aux morts.",7.4
120 battements par minute,Robin Campillo,2017,['Drame'],"Début des années 90. Alors que le sida tue depuis près de dix ans, les militants d'Act Up-Paris multiplient les actions pour lutter contre l'indifférence générale. Nouveau venu dans le groupe, Nathan va être bouleversé par Sean qui consume ses dernières forces dans l'action.",7.4
